"length";"qty";"total";"qty";"total"
02;109;109;0.06%;0.06%
03;1086;1195;0.55%;0.61%
04;4228;5423;2.15%;2.75%
05;9440;14863;4.80%;7.55%
06;16632;31495;8.45%;16.00%
07;25352;56847;12.88%;28.88%
08;31569;88416;16.04%;44.91%
09;31038;119454;15.77%;60.68%
10;24855;144309;12.63%;73.31%
11;18002;162311;9.14%;82.45%
12;12600;174911;6.40%;88.85%
13;8534;183445;4.34%;93.19%
14;5609;189054;2.85%;96.04%
15;3529;192583;1.79%;97.83%
16;1943;194526;0.99%;98.82%
17;1127;195653;0.57%;99.39%
18;594;196247;0.30%;99.69%
19;329;196576;0.17%;99.86%
20;160;196736;0.08%;99.94%
21;62;196798;0.03%;99.97%
22;30;196828;0.02%;99.99%
23;13;196841;0.01%;99.99%
24;9;196850;0.00%;100.00%
25;2;196852;0.00%;100.00%
27;2;196854;0.00%;100.00%
28;1;196855;0.00%;100.00%
